HOW,INDEX,LABEL,X,Y,Z,NPIX,FF,OUTLINE
VOLUME,NA,TA_R,6.804137825957895,44.88424074649488,-622.6545715332,1805.0,0.3134623481623902,
VOLUME,NA,ED_R,6.804137825957895,44.88424074649488,-622.6545715332,1125.0,0.24265046221857053,
VOLUME,NA,PER_R,6.804137825957895,44.88424074649488,-622.6545715332,2065.0,0.3613943969669343,
VOLUME,NA,DLPC_R,6.804137825957895,44.88424074649488,-622.6545715332,2507.0,0.23353237222288786,
VOLUME,NA,POP_R,6.804137825957895,44.88424074649488,-622.6545715332,311.0,0.41648541221914176,
VOLUME,NA,SOL_R,6.804137825957895,44.88424074649488,-622.6545715332,7142.0,0.24355519846252616,
VOLUME,NA,GAS_MED_R,6.804137825957895,44.88424074649488,-622.6545715332,3322.0,0.3848258320051044,
VOLUME,NA,GAS_LAT_R,6.804137825957895,44.88424074649488,-622.6545715332,1794.0,0.4354363366831898,
VOLUME,NA,TA_L,6.804137825957895,44.88424074649488,-622.6545715332,1987.0,0.27206479611700707,
VOLUME,NA,ED_L,6.804137825957895,44.88424074649488,-622.6545715332,1191.0,0.2374727630212493,
VOLUME,NA,PER_L,6.804137825957895,44.88424074649488,-622.6545715332,2013.0,0.37383625434806594,
VOLUME,NA,DLPC_L,6.804137825957895,44.88424074649488,-622.6545715332,2274.0,0.23387509496301154,
VOLUME,NA,POP_L,6.804137825957895,44.88424074649488,-622.6545715332,325.0,0.3914462491969475,
VOLUME,NA,SOL_L,6.804137825957895,44.88424074649488,-622.6545715332,6915.0,0.2224807502417771,
VOLUME,NA,GAS_MED_L,6.804137825957895,44.88424074649488,-622.6545715332,3100.0,0.39323221099438516,
VOLUME,NA,GAS_LAT_L,6.804137825957895,44.88424074649488,-622.6545715332,1633.0,0.45190086050229084,
