HOW,INDEX,LABEL,X,Y,Z,NPIX,T2,T2STD,T2CINT,FF,OUTLINE
VOLUME,NA,TA_R,8.129183411587888,53.027169823642886,-708.6240234375,3619.0,35.04089527493783,7.017444562259861,5.177628519466334,0.1407375411011648,
VOLUME,NA,ED_R,8.129183411587888,53.027169823642886,-708.6240234375,1510.0,34.77615894039735,6.970911259606415,5.255646988882591,0.15038384306583888,
VOLUME,NA,PER_R,8.129183411587888,53.027169823642886,-708.6240234375,2579.0,34.47886777820861,8.02365633550393,5.5607415604147645,0.20657677671254057,
VOLUME,NA,DLPC_R,8.129183411587888,53.027169823642886,-708.6240234375,3891.0,33.24569519403752,7.881953456083094,5.232277176312806,0.1258733494798593,
VOLUME,NA,POP_R,8.129183411587888,53.027169823642886,-708.6240234375,531.0,34.9774011299435,10.385754477683996,7.572694854121482,0.29715894061009285,
VOLUME,NA,SOL_R,8.129183411587888,53.027169823642886,-708.6240234375,9372.0,33.970657276995304,5.194580578547451,4.269069356012258,0.12544413775898924,
VOLUME,NA,GAS_MED_R,8.129183411587888,53.027169823642886,-708.6240234375,4073.0,32.12496931009084,9.465709374913873,6.006158686323721,0.2574096271480669,
VOLUME,NA,GAS_LAT_R,8.129183411587888,53.027169823642886,-708.6240234375,2618.0,32.55653170359053,7.427524361900583,6.941166231874832,0.2879739302854875,
VOLUME,NA,TA_L,8.129183411587888,53.027169823642886,-708.6240234375,3714.0,33.04658050619278,7.619183014214866,4.5647236594106575,0.12719346705798767,
VOLUME,NA,ED_L,8.129183411587888,53.027169823642886,-708.6240234375,1610.0,33.28260869565217,6.167557528350624,4.267286631854528,0.12567235945111238,
VOLUME,NA,PER_L,8.129183411587888,53.027169823642886,-708.6240234375,2876.0,34.26808066759388,9.577810866232443,5.743515272379865,0.20622511688212572,
VOLUME,NA,DLPC_L,8.129183411587888,53.027169823642886,-708.6240234375,3453.0,32.91572545612511,8.108775339461525,5.038419538538628,0.12580291795943402,
VOLUME,NA,POP_L,8.129183411587888,53.027169823642886,-708.6240234375,445.0,32.86067415730337,9.7336854918051,7.4094997872539885,0.25935703184916664,
VOLUME,NA,SOL_L,8.129183411587888,53.027169823642886,-708.6240234375,9924.0,34.13371624345022,5.485089886094762,4.155218256971044,0.12733441983634788,
VOLUME,NA,GAS_MED_L,8.129183411587888,53.027169823642886,-708.6240234375,4852.0,33.46723000824402,9.194268950138202,6.215028468513125,0.2531238001492369,
