# COMPUTER_NAME: GH01LV1
# DATE_CODE: 26-Apr-2022_171818
# DIR_CODE: R:\Rmn\9_Nos_Docs\TransfertCT\jm-traitement
# USER_NAME: c.ty
# VERSION: a5823bccd62df53d788c2446ed3c5e81614a564c
# NAME: THIGH
# PATIENT_ID: CL1VY220426
"slice"	"region"	"num_pix"	"B1_RATIO_REG_T2_MAP"	"surface_mm2"	"volume_mm3"
2	"VI_L"	0	NaN	0	0
3	"VI_L"	354	93.1138	693.84	6938.4
4	"VI_L"	330	98.6711	646.8	6468
5	"VI_L"	427	100.299	836.92	8369.2
6	"VI_L"	473	102.938	927.08	9270.8
7	"VI_L"	565	98.4685	1107.4	11074
8	"VI_L"	0	NaN	0	0
9	"VI_L"	0	NaN	0	0
1	"VM_L"	0	NaN	0	0
2	"VM_L"	0	NaN	0	0
3	"VM_L"	666	107.124	1305.36	13053.6
4	"VM_L"	559	114.714	1095.64	10956.4
5	"VM_L"	378	117.488	740.88	7408.8
6	"VM_L"	218	119.93	427.28	4272.8
7	"VM_L"	148	116.343	290.08	2900.8
8	"VM_L"	0	NaN	0	0
9	"VM_L"	0	NaN	0	0
1	"RF_L"	0	NaN	0	0
2	"RF_L"	0	NaN	0	0
3	"RF_L"	40	103.685	78.4	784
4	"RF_L"	76	106.715	148.96	1489.6
5	"RF_L"	130	110.086	254.8	2548
6	"RF_L"	239	112.431	468.44	4684.4
7	"RF_L"	329	110.126	644.84	6448.4
8	"RF_L"	0	NaN	0	0
9	"RF_L"	0	NaN	0	0
1	"SAR_L"	0	NaN	0	0
2	"SAR_L"	0	NaN	0	0
3	"SAR_L"	48	95.5012	94.08	940.8
4	"SAR_L"	46	105.847	90.16	901.6
5	"SAR_L"	56	111.625	109.76	1097.6
6	"SAR_L"	42	116.353	82.32	823.2
7	"SAR_L"	54	118.75	105.84	1058.4
8	"SAR_L"	0	NaN	0	0
9	"SAR_L"	0	NaN	0	0
1	"GRA_L"	0	NaN	0	0
